Name,Domain,Instance,No Drones,No Deliveries,Network,Deadline,Correlation Size,Trace,Generalized Variance,Largest Correlation Coefficient,Number of Constraints,MC Probability Booles,MC Probability Independent,MC Probability Correlated,Theoretical Probability Booles,Theoretical Probability Independent,Theoretical Probability Correlated,Booles Runtime,Indpendent Runtime,Correlated Runtime
crewplanning_instance-6_network_2_deadline_1_corrsize_2,crewplanning,6,0,0,2,1,2,64.74663509957904,0.001303209999999999,0.9,133,0.47275,0.476,0.48065,0.2887638701741388,0.35509302247797014,0.48770383039918536,0.19089508056640625,0.27838850021362305,2.510237455368042
crewplanning_instance-6_network_2_deadline_2_corrsize_2,crewplanning,6,0,0,2,2,2,108.26238003447442,0.001303209999999999,0.9,133,0.7777,0.78685,0.78995,0.6603991956533918,0.7208767000324767,0.7887141885762511,0.17947077751159668,0.37232232093811035,2.2319424152374268
crewplanning_instance-6_network_3_deadline_0_corrsize_2,crewplanning,6,0,0,3,0,2,92.54751542883938,0.001303209999999999,0.9,133,0.0408,0.0408,0.04325,0.00412395725738988,0.007808541972343815,0.04203796471054244,0.17750835418701172,0.8699140548706055,1.60066556930542
crewplanning_instance-6_network_3_deadline_1_corrsize_2,crewplanning,6,0,0,3,1,2,46.0667141395614,0.001303209999999999,0.9,133,0.58495,0.5933,0.6008,0.4148111032381386,0.48624503495708465,0.6018066967454663,0.1826474666595459,0.30789661407470703,1.2595000267028809
crewplanning_instance-6_network_3_deadline_2_corrsize_2,crewplanning,6,0,0,3,2,2,73.95284852231701,0.001303209999999999,0.9,133,0.8963,0.8999,0.9004,0.8285845005632808,0.8644671216178037,0.8964678378786308,0.18674206733703613,0.34216928482055664,2.11865496635437
crewplanning_instance-7_network_1_deadline_0_corrsize_2,crewplanning,7,0,0,1,0,2,83.97673091523626,0.036099999999999986,0.9,160,0.04515,0.04515,0.0506,0.009036152708661824,0.015619062582453026,0.049656350045605445,0.13385319709777832,0.7424039840698242,0.7324118614196777
crewplanning_instance-7_network_1_deadline_1_corrsize_2,crewplanning,7,0,0,1,1,2,36.07426316555115,0.036099999999999986,0.9,160,0.84675,0.84945,0.85505,0.7781580225502579,0.8225142879916576,0.8580447314958136,0.1373903751373291,0.2778317928314209,0.8077664375305176
crewplanning_instance-7_network_1_deadline_2_corrsize_2,crewplanning,7,0,0,1,2,2,69.05294264526935,0.036099999999999986,0.9,160,0.98075,0.98075,0.98075,0.9719617315267111,0.9774390241270091,0.9814146218792484,0.136397123336792,0.7278280258178711,0.23548483848571777
crewplanning_instance-7_network_2_deadline_0_corrsize_2,crewplanning,7,0,0,2,0,2,130.79996683547634,0.036099999999999986,0.9,160,0.0453,0.0453,0.0479,0.009036152708661834,0.015619058280113916,0.049641767706579715,0.1401369571685791,0.21207523345947266,0.7183616161346436
crewplanning_instance-7_network_2_deadline_1_corrsize_2,crewplanning,7,0,0,2,1,2,72.48386676933059,0.036099999999999986,0.9,160,0.62565,0.62725,0.6354,0.47929611308425735,0.5467270180670178,0.6332000532930723,0.13941526412963867,0.2691371440887451,0.7888102531433105
crewplanning_instance-7_network_2_deadline_2_corrsize_2,crewplanning,7,0,0,2,2,2,79.12658917747784,0.036099999999999986,0.9,160,0.9708,0.97165,0.97155,0.9520251505073343,0.9631360258486,0.9692076854083942,0.1391286849975586,0.7289342880249023,2.419612407684326
crewplanning_instance-7_network_3_deadline_0_corrsize_2,crewplanning,7,0,0,3,0,2,184.31262195751034,0.036099999999999986,0.9,160,0.0454,0.04545,0.0491,0.00903615270866178,0.015619059992980099,0.049555414690128086,0.14108633995056152,0.210679292678833,0.5970981121063232
crewplanning_instance-7_network_3_deadline_1_corrsize_2,crewplanning,7,0,0,3,1,2,45.37873974503137,0.036099999999999986,0.9,160,0.78295,0.78445,0.7897,0.6807857480579161,0.738004639863951,0.790427716857545,0.14007186889648438,0.27840352058410645,0.9232308864593506
crewplanning_instance-7_network_3_deadline_2_corrsize_2,crewplanning,7,0,0,3,2,2,85.64440801988769,0.036099999999999986,0.9,160,0.958,0.95795,0.95825,0.9384977450943868,0.9517315175068447,0.9605604564850279,0.13544845581054688,0.21436023712158203,0.9431629180908203
crewplanning_instance-8_network_1_deadline_0_corrsize_2,crewplanning,8,0,0,1,0,2,45.72824576018888,0.006858999999999999,0.9,142,0.0394,0.0394,0.04305,0.004123957257389888,0.007809036616118095,0.042652500067940434,0.16039514541625977,0.8010375499725342,0.8812143802642822
crewplanning_instance-8_network_1_deadline_1_corrsize_2,crewplanning,8,0,0,1,1,2,53.0363099557431,0.006858999999999999,0.9,142,0.405,0.40445,0.40975,0.2104427525853693,0.2724183191118626,0.4092323725011176,0.1562807559967041,0.33281564712524414,1.2843997478485107
crewplanning_instance-8_network_1_deadline_2_corrsize_2,crewplanning,8,0,0,1,2,2,77.56037455505259,0.006858999999999999,0.9,142,0.7402,0.7445,0.7482,0.5995066831029879,0.6635690287541326,0.7445284910109548,0.17005109786987305,0.3444352149963379,2.670020580291748
crewplanning_instance-8_network_2_deadline_0_corrsize_2,crewplanning,8,0,0,2,0,2,74.61335119778049,0.006858999999999999,0.9,142,0.03785,0.03785,0.04215,0.0041239572573898466,0.007809036616118088,0.04265497873173723,0.15657830238342285,0.8021550178527832,0.8051173686981201
crewplanning_instance-8_network_2_deadline_1_corrsize_2,crewplanning,8,0,0,2,1,2,31.810694397113597,0.006858999999999999,0.9,142,0.56405,0.56345,0.5703,0.3735723151278222,0.4475046052356067,0.569183769216305,0.15656256675720215,0.32046031951904297,1.1862237453460693
crewplanning_instance-8_network_2_deadline_2_corrsize_2,crewplanning,8,0,0,2,2,2,66.89750547664495,0.006858999999999999,0.9,142,0.7879,0.7879,0.79025,0.6688387323027521,0.7280253526526935,0.7939693596774955,0.15627574920654297,0.8987679481506348,1.2827582359313965
crewplanning_instance-8_network_3_deadline_0_corrsize_2,crewplanning,8,0,0,3,0,2,90.69476492559156,0.006858999999999999,0.9,142,0.039,0.039,0.04315,0.004123957257389873,0.007809036616118088,0.04268621813596164,0.15693330764770508,0.23785877227783203,0.7574174404144287
crewplanning_instance-8_network_3_deadline_1_corrsize_2,crewplanning,8,0,0,3,1,2,109.37079016959584,0.006858999999999999,0.9,142,0.2493,0.2493,0.2552,0.09226691844070596,0.13006734281445134,0.25270907573258355,0.15934324264526367,0.23824739456176758,0.9290323257446289
crewplanning_instance-8_network_3_deadline_2_corrsize_2,crewplanning,8,0,0,3,2,2,35.01477409579787,0.006858999999999999,0.9,142,0.9502,0.95075,0.95145,0.9171005838885185,0.9364771139427506,0.9509337370089581,0.15626144409179688,0.2803776264190674,1.4001495838165283
crewplanning_instance-9_network_1_deadline_0_corrsize_2,crewplanning,9,0,0,1,0,2,60.864634648309256,0.001303209999999999,0.9,158,0.01325,0.01325,0.01455,0.0018821089028825304,0.003903773082694399,0.013146975477053109,0.22370052337646484,0.31927037239074707,0.9577524662017822
crewplanning_instance-9_network_1_deadline_1_corrsize_2,crewplanning,9,0,0,1,1,2,157.7061284966001,0.001303209999999999,0.9,158,0.1635,0.1618,0.17215,0.07211730166509657,0.10629075840762785,0.17186925256468064,0.2246701717376709,0.3689436912536621,1.2631819248199463
crewplanning_instance-9_network_1_deadline_2_corrsize_2,crewplanning,9,0,0,1,2,2,127.8907842769432,0.001303209999999999,0.9,158,0.4168,0.41195,0.42415,0.2759287108430219,0.34580386403045577,0.42637181151521186,0.22683978080749512,0.39118027687072754,1.1325902938842773
crewplanning_instance-9_network_2_deadline_0_corrsize_2,crewplanning,9,0,0,2,0,2,103.52187372395795,0.001303209999999999,0.9,158,0.0117,0.0117,0.0132,0.0018821089028825304,0.0039037748923675796,0.01318134405272336,0.22200274467468262,0.32578396797180176,0.9964840412139893
crewplanning_instance-9_network_2_deadline_1_corrsize_2,crewplanning,9,0,0,2,1,2,49.18628294648081,0.001303209999999999,0.9,158,0.46645,0.46695,0.4792,0.32847581579567553,0.40269496984343267,0.4802543119837406,0.2217550277709961,0.4141695499420166,1.59266996383667
crewplanning_instance-9_network_2_deadline_2_corrsize_2,crewplanning,9,0,0,2,2,2,61.235261038184966,0.001303209999999999,0.9,158,0.7179,0.7234,0.7299,0.609020402644462,0.6759145512123825,0.7245868354796003,0.23057222366333008,0.44986820220947266,3.3385066986083984
crewplanning_instance-9_network_3_deadline_0_corrsize_2,crewplanning,9,0,0,3,0,2,63.4572935940187,0.001303209999999999,0.9,158,0.0113,0.0113,0.0136,0.0018821089028825304,0.003903773282305659,0.01313643845889621,0.222214937210083,0.31580138206481934,0.9544084072113037
crewplanning_instance-9_network_3_deadline_1_corrsize_2,crewplanning,9,0,0,3,1,2,53.011329882827134,0.001303209999999999,0.9,158,0.4426,0.4456,0.45895,0.29971326703845796,0.37246724927541,0.4519447471847435,0.22244572639465332,0.4270055294036865,1.601708173751831
crewplanning_instance-9_network_3_deadline_2_corrsize_2,crewplanning,9,0,0,3,2,2,166.44297190712786,0.001303209999999999,0.9,158,0.31905,0.3229,0.33915,0.19527248987199497,0.257509297951148,0.3392523180559754,0.23020267486572266,0.41600537300109863,3.3836474418640137
crewplanning_instance-11_network_1_deadline_0_corrsize_2,crewplanning,11,0,0,1,0,2,63.77439971460453,0.00024760989999999964,0.9,212,0.0924,0.09845,0.108,0.025436032477929176,0.0411058457564891,0.11199215436166395,0.24516987800598145,0.5005316734313965,1.6397671699523926
crewplanning_instance-11_network_1_deadline_1_corrsize_2,crewplanning,11,0,0,1,1,2,278.326469529391,0.00024760989999999964,0.9,212,0.2128,0.2227,0.2303,0.0881608703759766,0.12791669938037017,0.22829729751626904,0.24533987045288086,0.47850918769836426,2.782083749771118
crewplanning_instance-11_network_1_deadline_2_corrsize_2,crewplanning,11,0,0,1,2,2,51.31430124697647,0.00024760989999999964,0.9,212,0.9962,0.99975,0.9998,1.0,0.9993034533126054,0.9995040105193085,0.2503798007965088,0.27086782455444336,3.6836161613464355
crewplanning_instance-11_network_2_deadline_0_corrsize_2,crewplanning,11,0,0,2,0,2,43.000479955012736,0.00024760989999999964,0.9,212,0.1186,0.12165,0.13005,0.032652138061982736,0.050671610870965646,0.1308570204666435,0.24757599830627441,0.4743514060974121,1.9230568408966064
crewplanning_instance-11_network_2_deadline_1_corrsize_2,crewplanning,11,0,0,2,1,2,82.80614843247285,0.00024760989999999964,0.9,212,0.5432,0.54425,0.5493,0.37073479210542604,0.43888784486943316,0.5496503565759224,0.24815702438354492,0.4514586925506592,1.4207239151000977
crewplanning_instance-11_network_2_deadline_2_corrsize_2,crewplanning,11,0,0,2,2,2,170.3160703601702,0.00024760989999999964,0.9,212,0.95975,0.9614,0.9614,0.9365662077658927,0.9502086626946945,0.9584340365486704,0.2453327178955078,0.34854698181152344,0.7068417072296143
